,angle_test,report_right_prct,report_right_num
0,-15,1.0,3.0
1,-20,0.6666666666666666,3.0
2,-25,1.0,3.0
3,-30,0.875,8.0
4,-35,0.7727272727272727,22.0
5,-40,0.5526315789473685,38.0
6,-45,0.5833333333333334,48.0
7,-50,0.3170731707317073,41.0
8,-55,0.35,20.0
9,-60,0.2,10.0
10,-65,0.0,4.0
