,angle_test,report_right_prct,report_right_num
0,-85,0.0,1.0
1,-80,0.25,4.0
2,-75,0.5,6.0
3,-70,0.75,4.0
4,-65,0.2,5.0
5,-60,0.5,4.0
6,-55,0.0,5.0
7,-50,0.25,4.0
8,-45,0.09090909090909091,11.0
9,-40,0.3,30.0
10,-35,0.6428571428571429,28.0
11,-30,0.5,18.0
12,-25,0.47368421052631576,19.0
13,-20,0.5,20.0
14,-15,0.5789473684210527,19.0
15,-10,0.5714285714285714,14.0
16,-5,0.8571428571428571,7.0
17,0,1.0,1.0
