onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
16590.17634	3.7994203	1	1	1	2	2	1	2	1	-15	n/a	n/a
16593.98408	3.9994172	1	2	1	2	2	1	3	1	-15	1	0.0338905
16623.24648	3.782819	1	3	1	2	2	1	4	1	-10	n/a	n/a
16627.03763	3.9994162	1	4	1	1	2	1	4	2	-10	1	0.9084907
16651.13417	3.6744523	1	5	1	1	2	1	2	1	-5	n/a	n/a
16654.82546	3.507856681	1	6	1	2	2	2	3	2	-65	1	0.9751998
16658.34143	3.507935	1	7	1	1	2	1	5	2	-5	2	-0.5328901
16661.85758	3.5078088	1	8	1	1	2	1	5	1	-10	2	-0.0988182
16665.37372	3.4994902	1	9	1	2	2	1	5	1	-15	2	0.0840224
16668.88155	3.5078238	1	10	1	2	1	1	5	1	-20	n/a	n/a
16672.39771	3.5078103	1	11	1	1	1	1	3	2	-20	n/a	n/a
16675.91388	3.5077798	1	12	1	2	1	2	1	2	-60	2	-0.6741458
16679.43001	3.5078766	1	13	1	1	2	1	3	1	-20	n/a	n/a
16682.94617	3.5078493	1	14	1	2	2	1	5	1	-20	1	0.4337742
16686.46234	3.5078389	1	15	1	1	2	2	1	1	-65	1	-0.3405573
16689.97851	3.5078289	1	16	1	1	2	1	4	1	-15	2	-0.5324196
16693.49467	3.5079611	1	17	1	1	1	1	1	1	-20	n/a	n/a
16697.01081	3.5079528	1	18	1	1	1	1	5	1	-20	2	-0.1247083
16700.52699	3.5078223	1	19	1	1	2	1	2	1	-25	2	0.7423971
16704.04314	3.5078282	1	20	1	2	1	2	2	1	-60	2	-0.7577727
16707.5593	3.5078347	1	21	1	2	1	2	5	2	-65	2	-0.9331202254
16711.07554	3.5077404	1	22	1	2	1	1	4	1	-30	1	-0.8912771
16714.59161	3.9994236	1	23	1	2	2	2	5	1	-70	1	-0.8828846
16718.59935	3.5080078	1	24	1	2	1	1	2	2	-25	1	-0.2830358
16722.11567	3.8161305	1	25	1	2	2	1	5	1	-20	2	-0.1080689
16725.93998	3.5078249	1	26	1	2	1	2	4	2	-65	1	-0.8247016
16729.45614	3.5078259	1	27	1	2	1	2	4	1	-60	2	0.1168284
16732.97231	3.507812	1	28	1	1	1	1	3	2	-25	1	0.8418332
16736.48849	3.50782	1	29	1	2	1	2	3	1	-65	1	0.4753395
16740.00464	3.5077726	1	30	1	2	1	1	1	1	-20	1	0.2337998
16743.5209	3.5076978	1	31	1	2	2	1	3	2	-15	2	-0.0242988
16747.03694	3.5078284	1	32	1	2	1	1	2	1	-20	2	-0.01643
16750.55309	3.5078446	1	33	1	2	2	1	2	2	-25	1	-0.4830253
16754.06926	3.9994104	1	34	1	1	1	1	2	2	-20	1	0.5167548
16758.07701	3.5077959	1	35	1	1	1	2	1	2	-60	n/a	n/a
16761.5933	3.5076833	1	36	1	2	1	1	1	2	-15	n/a	n/a
16765.10931	3.5078231	1	37	1	2	1	1	2	2	-15	1	-1.8495071
16768.62546	3.5079727	1	38	1	1	2	2	5	2	-60	2	-1.6412082
16772.14166	3.5078689	1	39	1	2	1	1	3	1	-10	n/a	n/a
16775.65785	3.5077569	1	40	1	2	1	2	3	1	-65	1	-0.7663353
16779.17412	3.5078903	1	41	1	2	2	2	1	2	-60	1	-0.2747448
16782.69027	3.5076823	1	42	1	2	2	2	1	1	-55	1	-0.2914376
16786.20644	3.507674	1	43	1	2	2	2	5	2	-50	1	0.0252097
16789.72245	3.5078235	1	44	1	2	1	1	3	2	-10	2	0.1255071
16793.23875	3.5076944	1	45	1	2	1	1	4	1	-15	2	-0.1997549
16796.75477	3.5078276	1	46	1	1	1	2	4	2	-45	1	0.3005574
16800.2709	3.9994486	1	47	1	1	2	1	3	2	-20	2	0.3084433
16804.27874	3.5077693	1	48	1	2	2	1	1	2	-25	2	0.9667044
16807.79486	3.9993738	1	49	1	2	2	2	5	1	-40	1	0.0256436
16811.80272	3.5243538	1	50	1	2	1	1	3	1	-30	1	0.7583995
16815.33541	3.5079206	1	51	1	2	2	2	2	1	-35	1	0.4166488
16818.85168	3.7743407	1	52	1	1	1	1	3	1	-25	1	0.9583648
16822.63434	3.5078558	1	53	1	2	1	2	4	2	-30	2	0.6499243
16826.15053	3.6661126	1	54	1	1	2	1	5	1	-20	1	0.6499393
16829.82498	3.5078128	1	55	1	2	1	2	5	1	-35	n/a	n/a
16833.34123	3.5077794	1	56	1	2	1	2	5	2	-35	n/a	n/a
16836.85732	3.6244794	1	57	1	2	1	2	4	2	-35	n/a	n/a
16840.49018	3.9993702	1	58	1	2	2	2	4	2	-35	1	-0.9488964
16844.49789	3.5078269	1	59	1	2	1	1	1	1	-15	1	-0.0331112
16848.01405	3.507827	1	60	1	1	1	1	5	2	-10	1	0.3834028
16851.53018	3.6911322	1	61	1	2	1	2	1	2	-30	2	0.7421341
16855.22973	3.5079037	1	62	1	1	2	2	4	2	-35	1	0.2834557
16858.74585	3.5078146	1	63	1	2	1	2	3	2	-30	n/a	n/a
16862.26198	3.5078273	1	64	1	2	1	1	3	1	-5	2	-0.1497769
16865.77814	3.5078286	1	65	1	1	2	1	1	1	-10	2	0.4917568
16869.29428	3.9994505	1	66	1	2	2	1	1	2	-15	n/a	n/a
16873.30219	3.5077205	1	67	1	1	2	2	1	1	-30	n/a	n/a
16876.81823	3.5078396	1	68	1	1	1	2	2	1	-30	1	0.8666956
16880.33447	3.5078717	1	69	1	2	2	1	1	1	-15	1	0.5920152
16883.85069	3.5078305	1	70	1	2	1	2	3	2	-25	2	0.0584924
16887.36686	3.7411245	1	71	1	1	2	2	1	2	-30	1	0.1168327
16891.11631	3.5077075	1	72	1	1	1	1	3	1	-10	1	0.3501051
16894.63234	3.5078257	1	73	1	1	2	1	4	1	-5	2	0.4252116
16898.1485	3.5077949	1	74	1	2	2	2	2	2	-25	n/a	n/a
16901.66464	3.5079634	1	75	1	2	2	1	3	2	-10	2	-0.6913668
16905.18095	3.9410961	1	76	1	2	1	1	4	2	-15	2	-0.5831257
16909.13038	3.9992978	1	77	1	1	2	2	1	1	-25	1	0.3501198
16913.138	3.4994794	1	78	1	1	2	1	3	1	-20	1	0.925034
16916.64584	3.632794	1	79	1	1	1	2	3	1	-20	1	0.1168103
16920.28696	3.5078718	1	80	1	2	1	1	2	1	-15	n/a	n/a
16923.80328	3.9493166	1	81	1	2	2	2	5	2	-15	n/a	n/a
