,onset,duration,run_number,trial_number,ext_mot_pos,ext_mot_ori,ext_mot_ver_dir,fix_off_prct,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time,miss_time_trial,blink_trial,no_saccade_trial,main_sac_trial,innacurate_sac_trial,early_sac_trial,late_sac_trial,sac_x_onset_trial,sac_x_offset_trial,sac_y_onset_trial,sac_y_offset_trial,sac_t_onset_trial,sac_t_offset_trial,sac_dur_trial,sac_vpeak_trial,sac_dist_trial,sac_amp_trial,sac_dist_ang_trial,sac_lat_trial,sac_amp_ang_trial,cor_sac_trial,cor_sac_x_onset_trial,cor_sac_x_offset_trial,cor_sac_y_onset_trial,cor_sac_y_offset_trial,cor_sac_t_onset_trial,cor_sac_t_offset_trial,cor_sac_dur_trial,cor_sac_vpeak_trial,cor_sac_dist_trial,cor_sac_amp_trial,cor_sac_dist_ang_trial,cor_sac_amp_ang_trial
10,2588.466107,3.5242871,1,11,1,1,1,4,2.0,0.0252229,2526236.0,2529761.0,2528780.0,0.0,2528780.0,2528268.0,2526752.0,2526752.0,2526752.0,2527745.0,2528754.0,2529761.0,3525.0,516.0,993.0,1007.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0553845142291671,-11.713824759468674,0.294230231842446,0.3703839389075513,2528253.0,2528348.0,95.0,598.6938629902935,11.769455650759513,13.802140494965322,-3.1351221556568643,508.0,-3.1009523920156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2591.998897,3.5243425,1,12,2,7,2,4,1.0,0.5762884,2529768.0,2533294.0,2532864.0,2532864.0,0.0,2531651.0,2530285.0,2530285.0,2530285.0,2531278.0,2532286.0,2533295.0,3526.0,517.0,993.0,1009.0,0.0,578.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2007688640807263,9.377290565425724,0.24923031403124998,0.8203831170195276,2531636.0,2531703.0,67.0,415.326561205223,9.194278985304777,10.461271289127259,-0.0621604788211304,358.0,-0.07783777250250974,1.0,0.6749987671679644,0.951921338313796,0.578075867266925,0.9380752097565052,2533009.0,2533040.0,31.0,56.814371636613615,0.45418678646890226,0.6156663585993769,-0.9151007005533593,-0.9531612139406611
12,2595.531701,3.5243643,1,13,1,4,2,3,2.0,-0.2914905,2533301.0,2536827.0,2535528.0,0.0,2535528.0,2535001.0,2533818.0,2533818.0,2533818.0,2534611.0,2535819.0,2536827.0,3526.0,517.0,793.0,1008.0,0.0,-291.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.01384612855729079,-10.401904078665298,0.08307677134374868,0.837690777716142,2534978.0,2535045.0,67.0,478.3351614071572,10.415430393095408,11.52404772566228,-3.0690775743129244,367.0,-3.067331872760582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2599.064478,3.7243745,1,14,2,5,1,5,2.0,-0.1916067,2536834.0,2540559.0,2539361.0,0.0,2539361.0,2538967.0,2537550.0,2537550.0,2537551.0,2538743.0,2539552.0,2540560.0,3725.0,717.0,1192.0,1008.0,0.0,-191.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.05884604636849078,8.66767647686453,-0.010384596417967108,0.4569222423906236,2538946.0,2539015.0,69.0,383.12357327862105,8.739025748336624,10.055474414992757,-0.05349907917544543,203.0,0.05821002641260435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2602.797268,3.5244135,1,15,2,2,2,4,1.0,0.4918575,2540567.0,2544093.0,2543578.0,2543578.0,0.0,2542393.0,2541083.0,2541083.0,2541083.0,2542076.0,2543085.0,2544093.0,3526.0,516.0,993.0,1008.0,0.0,493.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06576911064713421,9.314982986917906,0.1903842676627592,0.9934597239856703,2542374.0,2542438.0,64.0,372.0807142203034,9.284012468623038,10.750984424894092,-0.0866091397102957,298.0,-0.08736591864491511,1.0,9.3288291154752,9.51921338313796,0.9865366597070249,1.1249979452799406,2542443.0,2542467.0,24.0,31.175149413598866,0.23540963654020128,0.2719010910554775,-0.628796286415433,-0.5491529026790102
15,2606.330109,3.5243945,1,16,1,9,1,4,1.0,-0.0748128,2544099.0,2547625.0,2546543.0,2546543.0,0.0,2545825.0,2544616.0,2544616.0,2544616.0,2545609.0,2546617.0,2547625.0,3526.0,517.0,993.0,1008.0,0.0,-74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.062307578507810525,-8.7992146981588,0.39807619602213284,0.2007688640807263,2545795.0,2545868.0,73.0,512.3392399381238,8.739134751258042,9.909984445289531,3.1190132902991983,186.0,3.105257725906136,1.0,-33.26532385889301,-11.879978302156175,18.726888873736858,2.312303469067694,2546351.0,2546414.0,63.0,10728.991302467537,26.95870209391064,38.30030142280977,0.6546465715588079,0.9764267774730448
16,2609.862903,3.52443,1,17,1,6,2,1,1.0,-0.5248118,2547632.0,2551158.0,2549626.0,2549626.0,0.0,2549092.0,2548149.0,2548149.0,2548149.0,2548542.0,2550150.0,2551158.0,3526.0,517.0,393.0,1008.0,0.0,-524.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.048461449950519736,-9.574597897367127,0.11423056059765394,0.4049992603007802,2549074.0,2549143.0,69.0,519.2618711327722,9.530573018005063,10.846001036790867,-3.111078871672368,532.0,3.089227657898401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2613.395742,3.5244581,1,18,2,8,2,2,1.0,-0.4164918,2551165.0,2554691.0,2553267.0,2553267.0,0.0,2552675.0,2551682.0,2551682.0,2551682.0,2552275.0,2553683.0,2554692.0,3526.0,517.0,593.0,1009.0,0.0,-416.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1488458819908829,8.421907694972601,0.17999967124479208,0.7684601349296841,2552651.0,2552718.0,67.0,324.310751342126,8.590931415996323,9.501435976505006,-0.06855154364627002,376.0,-0.07073642191531482,1.0,0.031153789253905263,-0.006923064278647363,0.882690695527338,0.8203831170195276,2554043.0,2554070.0,27.0,23.53389323378195,0.07302110047408515,0.21329892508330664,2.119345729245445,-0.8428062780342477
18,2616.928694,3.5245405,1,19,2,2,2,1,2.0,-0.4331596,2554698.0,2558224.0,2556783.0,0.0,2556783.0,2556331.0,2555214.0,2555214.0,2555214.0,2555608.0,2557215.0,2558224.0,3526.0,516.0,394.0,1009.0,0.0,-432.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17999967124479208,10.568057621352795,0.5573066744309868,0.9311521454778579,2556309.0,2556384.0,75.0,427.93499754687554,10.39478274958281,11.516671411095558,-0.03597247960224712,701.0,-0.049312982747198815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2620.461511,3.5243465,1,20,1,2,1,4,2.0,-0.1749447,2558231.0,2561757.0,2560574.0,0.0,2560574.0,2560007.0,2558747.0,2558748.0,2558748.0,2559740.0,2560748.0,2561757.0,3526.0,517.0,992.0,1009.0,1.0,-174.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-10.474596253591079,0.43269151741536177,0.44999917811197626,2559985.0,2560047.0,62.0,531.7972578471197,10.47461055270615,11.528688784487539,-3.1399403087617714,245.0,-3.095637655129611,1.0,-10.478057785730403,-10.211519811002539,0.44999917811197626,0.29076869970312236,2560051.0,2560071.0,20.0,49.64547259914913,0.31047840057940296,0.33733514273733284,0.5385074567115725,0.6763435049542112
