,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,exp_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
22,1491.059096,3.5078119,1,23,1,2,1,1,1,2,50,1.0,0.6583804,1401976.0,1405486.0,1405152.0,1405152.0,0.0,0.0,1402494.0,1404485.0,1402494.0,1405486.0,1404493.0,1405486.0,3510.0,518.0,2992.0,993.0,1991.0,659.0
23,1494.57524,3.5078201,1,24,1,2,2,1,1,2,45,1.0,0.5918137,1405492.0,1409001.0,1408603.0,1408603.0,0.0,0.0,1406011.0,1408002.0,1406011.0,1409001.0,1408009.0,1409001.0,3509.0,519.0,2990.0,992.0,1991.0,594.0
24,1498.091394,3.507839,1,25,1,2,1,1,2,2,40,2.0,0.575178,1409009.0,1412518.0,1412102.0,0.0,1412102.0,0.0,1409527.0,1411518.0,1409527.0,1412518.0,1411525.0,1412518.0,3509.0,518.0,2991.0,993.0,1991.0,577.0
25,1501.607557,3.5079495,1,26,1,1,1,2,5,1,55,1.0,0.2501056,1412525.0,1416034.0,1415292.0,1415292.0,0.0,0.0,1413042.0,1415034.0,1413042.0,1416034.0,1415041.0,1416034.0,3509.0,517.0,2992.0,993.0,1992.0,251.0
26,1505.12372,3.5078185,1,27,1,2,1,2,5,1,50,1.0,0.5500767,1416041.0,1419550.0,1419109.0,1419109.0,0.0,0.0,1416559.0,1418551.0,1416559.0,1419550.0,1418557.0,1419550.0,3509.0,518.0,2991.0,993.0,1992.0,552.0
27,1508.639837,3.5078432,1,28,1,1,2,1,3,2,45,2.0,0.2334674,1419557.0,1423066.0,1422308.0,0.0,1422308.0,0.0,1420075.0,1422066.0,1420075.0,1423067.0,1422073.0,1423067.0,3509.0,518.0,2992.0,994.0,1991.0,235.0
28,1512.156013,3.507847,1,29,1,2,1,1,3,2,50,1.0,0.4251193,1423073.0,1426583.0,1426016.0,1426016.0,0.0,0.0,1423591.0,1425582.0,1423591.0,1426583.0,1425589.0,1426583.0,3510.0,518.0,2992.0,994.0,1991.0,427.0
29,1515.672158,3.5078349,1,30,1,1,2,1,3,2,45,2.0,0.2171805,1426589.0,1430098.0,1429325.0,0.0,1429325.0,0.0,1427108.0,1429099.0,1427108.0,1430098.0,1429106.0,1430098.0,3509.0,519.0,2990.0,992.0,1991.0,219.0
30,1519.18831,3.5078686,1,31,1,2,1,2,4,2,45,1.0,0.1666976,1430105.0,1433614.0,1432790.0,1432790.0,0.0,0.0,1430624.0,1432615.0,1430624.0,1433615.0,1432622.0,1433615.0,3509.0,519.0,2991.0,993.0,1991.0,168.0
31,1522.704495,3.5078188,1,32,1,2,1,1,5,2,50,1.0,0.2417691,1433622.0,1437131.0,1436381.0,1436381.0,0.0,0.0,1434139.0,1436131.0,1434139.0,1437131.0,1436138.0,1437131.0,3509.0,517.0,2992.0,993.0,1992.0,243.0
32,1526.22066,3.5078109,1,33,1,2,1,2,4,1,40,1.0,0.25013,1437138.0,1440647.0,1439905.0,1439905.0,0.0,0.0,1437656.0,1439647.0,1437656.0,1440647.0,1439654.0,1440647.0,3509.0,518.0,2991.0,993.0,1991.0,251.0
33,1529.736959,3.5076542,1,34,1,2,2,1,1,1,45,2.0,0.0751447,1440654.0,1444163.0,1443247.0,0.0,1443247.0,0.0,1441172.0,1443163.0,1441172.0,1444164.0,1443170.0,1444164.0,3509.0,518.0,2992.0,994.0,1991.0,77.0
34,1533.252952,3.5078321,1,35,1,2,1,2,3,2,35,2.0,0.1584734,1444170.0,1447679.0,1446846.0,0.0,1446846.0,0.0,1444688.0,1446679.0,1444688.0,1447679.0,1446686.0,1447679.0,3509.0,518.0,2991.0,993.0,1991.0,160.0
35,1536.769104,3.507788,1,36,1,2,1,1,3,1,50,1.0,0.5499294,1447686.0,1451195.0,1450754.0,1450754.0,0.0,0.0,1448205.0,1450196.0,1448205.0,1451195.0,1450203.0,1451195.0,3509.0,519.0,2990.0,992.0,1991.0,551.0
36,1540.285257,3.507873,1,37,1,2,1,1,3,1,45,1.0,0.2917936,1451202.0,1454712.0,1454012.0,1454012.0,0.0,0.0,1451720.0,1453712.0,1451720.0,1454712.0,1453718.0,1454712.0,3510.0,518.0,2992.0,994.0,1992.0,294.0
37,1543.801412,3.5078343,1,38,1,2,1,2,4,2,40,n/a,n/a,1454718.0,1458228.0,0.0,0.0,0.0,0.0,1455236.0,1457228.0,1455236.0,1458228.0,1457235.0,1458228.0,3510.0,518.0,2992.0,993.0,1992.0,-1457235.0
38,1547.317705,3.5076959,1,39,1,2,2,2,4,1,40,n/a,n/a,1458235.0,1461744.0,0.0,0.0,0.0,0.0,1458753.0,1460744.0,1458753.0,1461744.0,1460751.0,1461744.0,3509.0,518.0,2991.0,993.0,1991.0,-1460751.0
39,1550.833723,3.5078209,1,40,1,1,1,1,4,2,40,1.0,0.624993,1461750.0,1465260.0,1464894.0,1464894.0,0.0,0.0,1462269.0,1464261.0,1462269.0,1465260.0,1464267.0,1465261.0,3510.0,519.0,2991.0,994.0,1992.0,627.0
40,1554.349877,3.5078366,1,41,1,2,2,1,3,2,35,2.0,0.0751862,1465267.0,1468776.0,1467860.0,0.0,1467860.0,0.0,1465785.0,1467776.0,1465785.0,1468776.0,1467783.0,1468776.0,3509.0,518.0,2991.0,993.0,1991.0,77.0
41,1557.86605,3.5077916,1,42,1,2,1,2,5,1,40,1.0,0.3667121,1468783.0,1472292.0,1471667.0,1471667.0,0.0,0.0,1469301.0,1471293.0,1469302.0,1472292.0,1471300.0,1472292.0,3509.0,519.0,2990.0,992.0,1992.0,367.0
42,1561.382175,3.5078208,1,43,1,2,1,2,1,1,35,2.0,0.1167943,1472299.0,1475808.0,1474934.0,0.0,1474934.0,0.0,1472817.0,1474809.0,1472817.0,1475808.0,1474815.0,1475808.0,3509.0,518.0,2991.0,993.0,1992.0,119.0
43,1564.898332,3.5078224,1,44,1,2,2,2,5,1,40,2.0,0.6335018,1475815.0,1479325.0,1478967.0,0.0,1478967.0,0.0,1476333.0,1478325.0,1476333.0,1479325.0,1478331.0,1479325.0,3510.0,518.0,2992.0,994.0,1992.0,636.0
44,1568.414497,3.5078388,1,45,1,2,1,1,5,2,40,1.0,0.825047,1479331.0,1482841.0,1482674.0,1482674.0,0.0,0.0,1479849.0,1481840.0,1479850.0,1482841.0,1481848.0,1482841.0,3510.0,519.0,2991.0,993.0,1991.0,826.0
45,1571.930669,3.5078017,1,46,1,2,1,2,1,2,45,1.0,0.3168261,1482847.0,1486357.0,1485682.0,1485682.0,0.0,0.0,1483366.0,1485357.0,1483366.0,1486357.0,1485364.0,1486357.0,3510.0,519.0,2991.0,993.0,1991.0,318.0
46,1575.446803,3.5077948,1,47,1,2,1,2,5,1,40,1.0,-0.0246212,1486364.0,1489873.0,1488857.0,1488857.0,0.0,0.0,1486882.0,1488873.0,1486882.0,1489873.0,1488880.0,1489873.0,3509.0,518.0,2991.0,993.0,1991.0,-23.0
47,1578.962929,3.5078604,1,48,1,2,1,2,3,2,35,2.0,0.3749731,1489880.0,1493389.0,1492772.0,0.0,1492772.0,0.0,1490398.0,1492389.0,1490398.0,1493389.0,1492396.0,1493389.0,3509.0,518.0,2991.0,993.0,1991.0,376.0
48,1582.479321,3.5076266,1,49,1,2,1,1,5,1,35,1.0,0.0918191,1493396.0,1496906.0,1496006.0,1496006.0,0.0,0.0,1493914.0,1495906.0,1493914.0,1496906.0,1495912.0,1496906.0,3510.0,518.0,2992.0,994.0,1992.0,94.0
49,1585.99528,3.5078319,1,50,1,2,1,2,2,2,40,1.0,-0.0497983,1496912.0,1500421.0,1499380.0,1499380.0,0.0,0.0,1497430.0,1499421.0,1497431.0,1500421.0,1499428.0,1500421.0,3509.0,519.0,2990.0,993.0,1991.0,-48.0
50,1589.51145,3.5078026,1,51,1,2,2,2,1,2,35,2.0,-0.149575,1500428.0,1503937.0,1502797.0,0.0,1502797.0,0.0,1500947.0,1502938.0,1500947.0,1503937.0,1502944.0,1503937.0,3509.0,519.0,2990.0,993.0,1991.0,-147.0
51,1593.027605,3.5078198,1,52,1,2,2,1,4,2,30,2.0,-0.0581029,1503944.0,1507454.0,1506404.0,0.0,1506404.0,0.0,1504462.0,1506454.0,1504462.0,1507454.0,1506461.0,1507454.0,3510.0,518.0,2992.0,993.0,1992.0,-57.0
52,1596.543757,3.5078246,1,53,1,2,2,1,4,2,35,2.0,-0.0997649,1507460.0,1510970.0,1509878.0,0.0,1509878.0,0.0,1507978.0,1509970.0,1507978.0,1510970.0,1509977.0,1510970.0,3510.0,518.0,2992.0,993.0,1992.0,-99.0
53,1600.060065,3.5077568,1,54,1,2,1,1,5,1,40,1.0,0.0583458,1510977.0,1514486.0,1513553.0,1513553.0,0.0,0.0,1511495.0,1513486.0,1511495.0,1514486.0,1513493.0,1514486.0,3509.0,518.0,2991.0,993.0,1991.0,60.0
54,1603.57608,3.5078127,1,55,1,2,1,1,3,2,35,2.0,0.4584358,1514493.0,1518003.0,1517469.0,0.0,1517469.0,0.0,1515011.0,1517002.0,1515011.0,1518003.0,1517009.0,1518003.0,3510.0,518.0,2992.0,994.0,1991.0,460.0
55,1607.09223,3.5078046,1,56,1,1,2,2,3,2,40,2.0,0.0252025,1518009.0,1521518.0,1520552.0,0.0,1520552.0,0.0,1518527.0,1520518.0,1518527.0,1521518.0,1520525.0,1521518.0,3509.0,518.0,2991.0,993.0,1991.0,27.0
56,1610.608431,3.5077137,1,57,1,1,1,1,1,1,40,1.0,0.1834582,1521525.0,1525034.0,1524226.0,1524226.0,0.0,0.0,1522043.0,1524035.0,1522044.0,1525034.0,1524041.0,1525035.0,3509.0,519.0,2990.0,994.0,1992.0,185.0
