onset	duration	run_number	trial_number	ext_mot_pos	ext_mot_ori	ext_mot_ver_dir	direction_report	fix_off_prct	response_duration
2895.063964	3.799535	2	1	1	7	1	3	1	-0.3746435
2898.871941	3.524280539	2	2	1	8	2	2	1	-0.6579624
2902.40465	3.5243991	2	3	1	10	1	2	1	-0.3913411
2905.937477	3.5244191	2	4	2	4	2	2	1	-0.2413192
2909.470289	3.5244503	2	5	1	6	2	5	1	0.0594051
2913.011497	3.524512	2	6	1	8	1	5	1	0.033652
2916.54435	3.5244287	2	7	2	7	1	3	1	-0.3830461
2920.077191	3.5243709	2	8	1	5	2	3	2	0.0016199
2923.610003	3.524507	2	9	2	8	2	2	1	-0.624792
2927.142806	3.5244377	2	10	1	3	2	3	2	-0.3913703
2930.675748	3.524461672	2	11	1	9	1	5	1	-0.2161851
2934.208588	3.5242895	2	12	2	3	1	1	2	-0.3326424
2937.74132	3.5243844	2	13	1	7	1	5	1	-0.0497619
2941.274094	3.5244729	2	14	1	1	1	3	2	-0.2746093
2944.806992	3.5244306	2	15	1	5	1	1	2	-0.2656063
2948.339812	3.5245561	2	16	2	2	1	3	2	-0.1664793
2951.872704	3.5243708	2	17	2	3	1	3	2	-0.274848
2955.405501	3.5243963	2	18	2	10	1	2	1	-0.3664707
2958.93836	3.5243867	2	19	2	2	2	4	2	-0.2081841
2962.471219	3.5244034	2	20	2	3	1	4	2	-0.1579599
2966.004021	3.5244011	2	21	2	9	1	5	1	0.0334351
2969.536886	3.5243888	2	22	2	4	1	4	2	-0.1081828
2973.069684	3.5243991	2	23	2	5	1	1	2	-0.2914369
2976.602535	3.5244271	2	24	1	10	1	5	1	-0.0331432
2980.13545	3.716101	2	25	2	10	1	5	1	0.0015644
2983.868331	3.524260122	2	26	2	4	1	5	2	0.3668739
2987.401091	3.5243252	2	27	2	1	1	4	2	0.2000679
2990.933865	3.5243889	2	28	1	9	2	3	1	0.0595652
2994.466714	3.5243957	2	29	2	10	2	5	1	0.0500737
2997.999476	3.5244821	2	30	1	2	2	1	2	-0.1581656
3001.532496	3.524302973	2	31	1	8	2	3	1	-0.2332028
3005.065179	3.5244832	2	32	2	7	1	1	1	-0.1582104
3008.598191	3.524269476	2	33	2	3	1	1	2	-0.6164596
3012.130933	3.5244086	2	34	2	6	2	4	1	-0.3581584
3015.663734	3.5244322	2	35	2	9	2	5	1	-0.0498771
3019.196706	3.5243066	2	36	1	1	1	3	2	-0.1081622
3022.729402	3.5244353	2	37	2	10	2	3	1	-0.1165388
3026.262267	3.5245586	2	38	2	1	2	1	2	-0.3331738
3029.795205	3.524327	2	39	2	8	2	4	1	-0.3248448
3033.327944	3.5244494	2	40	2	9	1	1	1	-0.6164687
3036.860877	3.5243505	2	41	1	6	2	1	1	-0.424981
3040.393715	3.5243632	2	42	2	6	2	1	1	-0.5331378
3043.926489	3.5244378	2	43	1	6	2	3	1	-0.2498315
3047.459431	3.5243658	2	44	1	7	2	5	1	0.0337453
3050.992216	3.52441	2	45	1	2	2	5	2	0.1584249
3054.525122	3.5243544	2	46	1	10	1	3	1	-0.1748242
3058.057935	3.5244343	2	47	2	9	2	2	1	-0.2831751
3061.590713	3.5244714	2	48	1	10	1	2	1	-0.0915394
3065.123699	3.5243445	2	49	2	5	1	5	2	-0.0333241
3068.656494	3.5243953	2	50	2	2	1	2	2	-0.0665471
3072.189435	3.5242959	2	51	1	3	1	3	2	-0.0915233
3075.730428	3.5244955	2	52	1	9	2	5	1	-0.1662484
3079.263357	3.5245774	2	53	1	1	2	4	2	-0.249861
3082.796226	3.5243921	2	54	2	8	1	1	1	-0.4915087
3086.329099	3.5243748	2	55	1	6	2	2	1	-0.1582078
3089.861868	3.5244567	2	56	2	1	2	2	2	-0.1832184
3093.394805	3.5243733	2	57	1	4	2	3	2	-0.266498
3096.927634	3.5243963	2	58	1	3	1	3	2	-0.1166643
3100.460459	3.5244289	2	59	2	2	2	3	2	-0.3080797
3103.993308	3.524676234	2	60	2	7	2	1	1	-0.274817
3107.526266	3.5243278	2	61	1	4	2	3	1	-0.0247055
3111.058946	3.5245089	2	62	1	4	2	1	2	-0.4665338
3114.591996	3.5243268	2	63	2	5	2	4	2	-0.3248031
3118.124807	3.5243419	2	64	1	2	1	3	2	-0.3831522
3121.657603	3.5244159	2	65	1	2	1	2	2	-0.3081079
3125.190367	3.5244822	2	66	1	3	2	5	2	-0.091483
3128.723334	3.7576916	2	67	2	6	1	1	1	-0.399803
3132.489606	3.5243398	2	68	2	5	1	3	2	-0.4414826
3136.022299	3.5244395	2	69	1	5	2	4	2	-0.249522
3139.555191	3.5244089	2	70	2	8	1	2	1	-0.2915257
3143.088041	3.5244533	2	71	1	7	2	2	1	-0.7164613
3146.620854	3.5244152	2	72	2	1	2	3	2	-0.2581635
3150.153716	3.5244496	2	73	1	4	1	2	2	-0.5164765
3153.686716	3.5242784	2	74	2	6	2	1	1	-0.5081229
3157.21953	3.5243513	2	75	2	7	1	5	1	-0.1494808
3160.752356	3.52438	2	76	2	4	1	3	1	-0.2748669
3164.285228	3.5244393	2	77	1	9	1	1	1	-0.3498297
3167.817993	3.5244886	2	78	1	5	1	2	2	-0.3164936
3171.350888	3.5245647	2	79	1	8	1	4	1	-0.4415583
3174.883864	3.524297344	2	80	1	1	2	1	2	-0.4581302
