onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	exp_mot_ori	direction_report	response_duration
6890.16577	3.6078653	2	83	1	1	2	2	3	2	55	2	0.2751953
6893.782169	3.5076126	2	84	1	1	1	1	3	2	50	1	0.3837664
6897.298091	3.5078319	2	85	1	2	1	1	3	2	45	1	0.3918971
6900.814274	3.6911285	2	86	1	2	1	1	4	1	40	1	0.3001203
6904.513738	3.5078112	2	87	1	2	2	2	2	1	60	1	0.2834496
6908.029886	3.507963	2	88	1	2	1	2	4	1	55	1	0.2418203
6911.546162	3.5076948	2	89	1	2	2	2	3	1	50	1	0.1834914
6915.062211	3.5078488	2	90	1	2	2	1	3	1	35	2	0.1084851
6918.578377	3.5078217	2	91	1	1	1	2	1	2	45	1	0.2172241
6922.09453	3.5078422	2	92	1	2	1	2	1	1	40	2	0.3667923
6925.610705	3.5078272	2	93	1	1	1	2	4	2	45	1	0.1588795
6929.126985	3.5078195	2	94	1	2	1	1	3	2	40	2	0.2168052
6932.643027	3.5078273	2	95	1	2	1	1	2	1	45	1	0.5417444
6936.159188	3.5078223	2	96	1	2	2	1	5	2	40	2	0.3001251
6939.675473	3.507693	2	97	1	2	2	2	2	2	40	2	0.174971
6943.191491	3.5078274	2	98	1	2	1	2	5	1	45	2	0.4166437
6946.707778	3.5077986	2	99	1	2	1	1	3	2	45	2	0.2415897443
6950.223821	3.5078293	2	100	1	1	2	1	4	2	50	1	0.2667949
