,angle_test,report_right_prct,report_right_num
0,-65,0.0,2.0
1,-60,0.0,2.0
2,-55,0.0,9.0
3,-50,0.2413793103448276,29.0
4,-45,0.46511627906976744,43.0
5,-40,0.5111111111111111,45.0
6,-35,0.6470588235294118,34.0
7,-30,0.6666666666666666,21.0
8,-25,1.0,9.0
9,-20,0.6666666666666666,3.0
10,-15,1.0,3.0
