onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
22255.1877	3.5161744	1	1	1	1	2	1	2	2	-15	n/a	n/a
22258.71221	3.507824	1	2	1	1	1	1	3	1	-15	n/a	n/a
22262.22851	3.507708	1	3	1	1	1	2	2	1	-65	1	-0.55794
22265.74455	3.5078192	1	4	1	2	2	2	5	1	-60	1	-0.4080408
22269.26068	3.5161484	1	5	1	1	1	2	3	2	-55	1	0.1002753
22272.78517	3.5078246	1	6	1	2	1	2	1	1	-50	1	0.1356782
22276.30135	3.5077969	1	7	1	2	2	1	4	2	-15	2	-0.4412177
22279.81749	3.5078333	1	8	1	1	2	2	3	1	-45	1	-0.4903548
22283.33365	3.5079161	1	9	1	1	2	2	5	1	-40	1	-0.533009
22286.84992	3.5077321	1	10	1	1	1	1	3	1	-20	n/a	n/a
22290.3661	3.5078294	1	11	1	1	2	1	1	2	-20	2	-0.2742931
22293.88215	3.5078076	1	12	1	2	1	1	3	2	-25	n/a	n/a
22297.39842	3.5077295	1	13	1	1	2	1	5	2	-25	2	-1.0578472
22300.91449	3.5078001	1	14	1	2	2	2	5	2	-35	2	-0.591236
22304.43075	3.5077486	1	15	1	2	2	2	3	1	-40	2	-1.0820644
22307.94677	3.5078287	1	16	1	1	2	2	5	1	-45	1	-1.2487836
22311.46309	3.5076811	1	17	1	2	1	1	5	1	-30	1	-0.8330048
22314.97909	3.6411396	1	18	1	1	2	1	5	2	-25	1	-0.8330033
22318.62857	3.5078273	1	19	1	2	2	1	4	2	-20	2	-0.3496041
22322.14471	3.6579559	1	20	1	2	2	1	1	2	-25	2	-1.0662691
22325.81084	3.4994854	1	21	1	2	1	2	5	1	-40	1	-0.9830002
22329.31866	3.5078582	1	22	1	1	2	2	2	1	-35	2	0.2086531
22332.83485	3.5078245	1	23	1	2	1	2	3	1	-40	1	-0.7824522
22336.35113	3.5077131	1	24	1	1	1	2	4	1	-35	1	-0.4080315
22339.86713	3.5078714	1	25	1	1	2	2	3	1	-30	2	-0.0163288
22343.38348	3.5076804	1	26	1	1	2	1	4	1	-30	1	0.3585874
22346.89948	3.5078459	1	27	1	2	1	2	1	2	-35	2	-0.3581125
22350.41565	3.8327936	1	28	1	2	2	2	5	2	-40	1	-0.4913952
22354.25677	3.5078277	1	29	1	2	2	1	2	2	-25	2	-0.649578
22357.77293	3.5078447	1	30	1	2	1	2	5	2	-35	1	-0.5998056
22361.28919	3.5077073	1	31	1	1	2	2	3	2	-30	2	-0.2082174
22364.80538	3.5077003	1	32	1	1	2	1	5	2	-30	1	0.6250882
22368.32141	3.5078128	1	33	1	2	1	1	3	2	-25	2	0.3667713
22371.83756	3.6827921	1	34	1	1	2	2	3	1	-35	1	-0.6413198
22405.66603	3.5080056	1	35	1	1	1	2	3	2	-30	n/a	n/a
22409.19071	3.5076524	1	36	1	1	2	1	1	1	-30	1	-0.7739241
22412.70674	3.5077794	1	37	1	2	1	1	4	1	-25	1	-0.8746282
22416.22286	3.5911477	1	38	1	1	2	1	4	2	-20	2	-0.3331386
22419.82241	3.5077396	1	39	1	1	2	1	5	1	-25	2	-0.2414015
22423.33849	3.5078149	1	40	1	1	1	1	1	1	-30	1	-1.2412634
22426.85486	3.507745409	1	41	1	2	2	2	4	1	-30	1	-0.5913583
22430.37081	3.5078407	1	42	1	1	2	2	2	2	-25	1	-0.3997156
22433.88696	3.5078469	1	43	1	1	2	2	5	1	-20	1	-0.432944
22437.40318	3.6077809	1	44	1	2	2	2	2	1	-15	1	0.0501431
22441.01929	3.5077963	1	45	1	1	2	1	4	2	-25	2	0.016823
22444.53559	3.5076886	1	46	1	1	2	2	2	1	-10	2	-0.7330188
22448.05172	3.5077303	1	47	1	1	2	1	2	1	-30	1	-0.9579889
22451.56778	3.5078271	1	48	1	2	1	1	5	2	-25	2	-0.9496115
22455.08394	3.5078334	1	49	1	2	2	2	2	2	-15	2	-0.6498334
22458.6001	3.5078375	1	50	1	2	1	2	5	2	-20	2	-0.6330208
22462.11626	3.5078277	1	51	1	1	1	1	2	2	-30	1	-0.1914424
22465.63243	3.5078281	1	52	1	2	2	2	5	1	-25	2	0.2752402
22469.14858	3.5078121	1	53	1	1	2	1	5	2	-25	2	-0.0664316
22472.66473	3.5078701	1	54	1	1	2	2	4	2	-30	1	-1.1746196
22476.18087	3.4995489	1	55	1	2	1	1	5	1	-30	2	-0.516353
22479.68872	3.5245152	1	56	1	1	2	2	2	2	-25	1	-0.708014
22483.22169	3.9992835	1	57	1	1	2	1	4	1	-35	1	-1.1246078
22487.22932	3.8911116	1	58	1	1	1	2	2	1	-20	1	-0.1159398
22491.12897	3.5076178	1	59	1	2	1	1	1	2	-30	2	-1.2825341
22494.64495	3.5078237	1	60	1	1	1	1	2	2	-35	1	-0.7330173
22498.16129	3.5077955	1	61	1	1	2	1	2	2	-30	1	-1.2412607
22501.6774	3.507663	1	62	1	2	2	2	3	1	-15	2	-0.8163135
22505.19355	3.5076891	1	63	1	1	2	1	1	2	-25	1	-1.15794
22508.70955	3.5080341	1	64	1	2	1	1	5	2	-20	2	-1.1414971
22512.22574	3.6744959	1	65	1	1	1	2	3	2	-20	2	-0.549736
22515.90853	3.507826	1	66	1	1	2	1	3	1	-25	1	-0.2914127
22519.42468	3.5078228	1	67	1	2	1	2	5	1	-25	2	-0.4330614
22522.94084	3.5078317	1	68	1	1	2	1	3	1	-20	2	-0.5330286
22526.45715	3.5076995	1	69	1	2	1	2	3	1	-30	1	-0.1914191
22529.97322	3.5077656	1	70	1	1	1	2	1	2	-25	2	0.0919649
22533.48934	3.999438	1	71	1	1	2	1	5	1	-25	2	-0.6578071
22537.4971	3.5078263	1	72	1	2	2	1	2	2	-30	1	-0.3913741
22567.10133	3.6910305	1	73	1	1	2	1	2	2	-25	n/a	n/a
22570.80063	3.5078229	1	74	1	1	1	2	5	1	-30	1	-0.5996808
22574.31679	3.5078317	1	75	1	2	2	2	3	2	-25	2	-1.1579432
22577.83301	3.5077911	1	76	1	2	1	1	3	2	-25	1	-0.4330514
22581.34925	3.5077234	1	77	1	1	2	1	4	2	-20	2	-0.199773
22584.86551	3.5076234	1	78	1	1	1	1	4	2	-25	1	0.2334758
22588.38146	3.5079416	1	79	1	1	1	1	5	2	-20	1	-1.2995898
22591.89764	3.5078449	1	80	1	2	2	1	5	1	-15	2	-1.2329625
22595.41377	3.4995346	1	81	1	2	2	2	3	2	-30	1	-0.3745567
22598.92168	3.5077708	1	82	1	2	1	2	3	2	-25	1	0.2417008
22602.43778	3.5078324	1	83	1	1	1	1	4	1	-20	2	0.283436
22605.95395	3.9077701	1	84	1	2	2	1	5	2	-25	2	0.0754378
22609.87005	3.5079117	1	85	1	2	2	1	1	2	-30	2	-0.1330719
22613.38621	3.5078393	1	86	1	1	1	1	3	2	-35	1	-0.8411159
22616.90251	3.6326841	1	87	1	2	1	1	5	1	-30	2	-0.8829787
22646.56477	3.9994763	1	88	1	2	2	1	2	2	-35	2	-0.4243524
22650.57266	3.5077187	1	89	1	1	1	1	1	1	-40	1	-0.5663735
22654.08884	3.5077137	1	90	1	1	2	2	5	2	-20	2	-0.5746974
22657.60496	3.5077356	1	91	1	2	2	1	2	1	-35	1	-0.29131
22661.12104	3.5078418	1	92	1	2	1	1	1	1	-30	1	-0.6080395
22664.6372	3.5078138	1	93	1	1	2	1	4	1	-25	2	-0.3663727
22668.15336	3.5078138	1	94	1	2	2	2	5	2	-25	2	-0.2080279
22671.66951	3.9910899	1	95	1	2	2	2	3	2	-30	2	-0.4497236
22675.66893	3.5078331	1	96	1	2	1	1	2	2	-30	1	-0.3913907
22679.18526	3.507813	1	97	1	1	1	1	2	1	-25	1	-0.3580083
22682.70127	3.9994247	1	98	1	1	2	1	4	1	-20	2	-1.2412684
22699.88212	3.6496399	1	99	1	2	2	2	5	1	-35	2	-0.9664691
22703.54009	3.5076912	1	100	1	1	1	2	4	2	-40	1	-0.3160091
