,angle_test,report_right_prct,report_right_num
0,-15,1.0,2.0
1,-20,1.0,2.0
2,-25,1.0,2.0
3,-30,0.875,8.0
4,-35,0.7931034482758621,29.0
5,-40,0.6206896551724138,58.0
6,-45,0.35714285714285715,56.0
7,-50,0.18518518518518517,27.0
8,-55,0.3333333333333333,9.0
9,-60,0.0,4.0
10,-65,0.0,3.0
