onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
40905.22099	3.9410843	1	1	1	2	2	1	1	2	-15	2	-0.7315212
40909.17041	3.5161557	1	2	1	2	1	2	5	1	-65	1	-0.4744599
40912.6949	3.5078186	1	3	1	1	1	1	3	2	-20	1	-0.4911878
40916.21105	3.5078331	1	4	1	2	1	2	2	1	-60	1	-1.2576906
40919.7356	3.5161331	1	5	1	2	1	2	1	2	-55	1	-1.2404932
40923.26836	3.5161823	1	6	1	2	2	2	5	2	-50	1	-0.9987744
40926.79286	3.5079068	1	7	1	2	1	2	3	2	-45	1	-1.3328669
40930.30901	3.5078279	1	8	1	2	2	1	1	2	-15	2	-1.3742842
40933.82517	3.5078132	1	9	1	1	1	2	3	1	-40	1	-0.9414335
40937.34147	3.5077649	1	10	1	2	2	2	5	1	-35	1	-0.54982
40940.85749	3.5078078	1	11	1	2	2	2	2	1	-30	2	-1.0661934
40944.37363	3.5079527	1	12	1	1	2	1	5	1	-20	2	-0.3993515
40947.88977	3.5078219	1	13	1	2	2	2	1	1	-35	1	-0.7412674
40951.40592	3.5078005	1	14	1	1	2	2	4	2	-30	2	-1.1487612
40954.92221	3.5076902	1	15	1	1	2	2	3	2	-35	2	-0.5495036
40958.4383	3.5077521	1	16	1	2	2	1	2	2	-25	2	-1.233039
40961.9544	3.6327805	1	17	1	1	2	2	2	1	-40	1	-1.0995194
40965.59552	3.5078376	1	18	1	1	2	1	1	2	-30	2	-0.6413473
40969.11169	3.5078108	1	19	1	2	1	1	5	1	-35	2	-0.6748445
40972.62783	3.5078211	1	20	1	1	1	2	2	2	-35	1	-1.0579715
40976.14399	3.5078282	1	21	1	1	1	2	3	1	-30	2	-0.6580341
40979.66017	3.5078092	1	22	1	1	1	2	2	1	-35	2	-0.8412971
40983.17631	3.5078193	1	23	1	1	2	2	3	2	-40	1	-1.3912218
40986.6926	3.9326063	1	24	1	2	1	2	4	2	-35	1	-0.5829757
40990.63354	3.5078395	1	25	1	2	1	2	3	2	-30	1	-1.2080908
40994.14971	3.5078242	1	26	1	2	1	2	1	1	-25	1	-1.3076911
40997.66587	3.4994926	1	27	1	1	1	2	4	2	-20	2	-1.2161916
