onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
13440.25292	3.8161613	2	1	1	1	2	2	3	1	-65	1	-0.8577716
13444.07738	3.5078277	2	2	1	2	1	2	5	1	-60	1	-0.9328494
13447.59353	3.5078455	2	3	1	1	2	1	2	1	-15	2	-1.174399
13451.10971	3.5078561	2	4	1	1	1	2	3	1	-55	1	-1.2244571
13454.6259	3.5161557	2	5	1	2	2	1	2	1	-20	2	-1.3406064
13458.15887	3.5077398	2	6	1	1	2	1	1	1	-25	2	-1.0828398
13461.67491	3.5078689	2	7	1	2	1	1	1	1	-30	2	-1.191173
13465.19111	3.5161727	2	8	1	2	1	2	3	2	-50	2	-0.5643956
13468.71561	3.7077999	2	9	1	1	1	1	2	2	-35	1	-0.8911305
13472.43189	3.9993	2	10	1	2	1	1	4	1	-30	2	-1.1830328
13476.43952	3.5078306	2	11	1	2	1	1	4	1	-35	2	-1.1914333
13489.82929	3.6745011	2	12	1	2	1	2	2	2	-55	1	-1.0571681
13503.02744	3.666168	2	13	1	2	2	2	1	2	-50	2	-0.81632
13539.0224	3.8160911	2	14	1	2	1	1	1	2	-40	2	-1.0496116
13542.84686	3.5078693	2	15	1	1	1	1	2	1	-45	1	-0.8662255
13546.36306	3.5078428	2	16	1	2	1	2	1	2	-55	1	-1.2495974
13549.87923	3.5078385	2	17	1	2	1	2	5	2	-50	1	-1.349038
13553.39553	3.5077192	2	18	1	2	2	2	3	2	-45	2	-1.2995737
13629.40138	3.5078518	2	19	1	2	2	2	1	1	-50	2	-1.0078064
13632.91756	3.5078896	2	20	1	2	2	2	2	1	-55	1	-0.8579416
13636.43375	3.5078108	2	21	1	2	1	2	2	1	-50	1	-0.8330102
13700.22478	3.9994394	2	22	1	1	1	1	2	2	-40	2	-1.0996422
13704.23256	3.5077972	2	23	1	2	1	2	3	2	-45	2	-1.0246393
13707.74875	3.7661254	2	24	1	2	2	2	1	1	-50	1	-1.1329684
13711.52336	3.5078376	2	25	1	1	2	1	1	1	-45	1	-1.1330652
13715.03938	3.507987	2	26	1	1	1	2	2	2	-45	1	-1.1996182
13718.55556	3.507851	2	27	1	2	1	2	3	2	-40	2	-1.2745978
13722.07176	3.5078086	2	28	1	2	2	1	5	1	-40	2	-1.2747199
13725.5879	3.5078265	2	29	1	2	1	2	3	1	-45	2	-1.2745757
13729.10418	3.5077379	2	30	1	1	1	1	1	1	-45	1	-1.2329364
13732.62024	3.5078431	2	31	1	1	1	1	4	2	-40	1	-1.3745783
13736.13655	3.5077097	2	32	1	2	1	2	4	2	-50	1	-1.2996139
13739.65258	3.5078298	2	33	1	1	1	1	3	1	-35	1	-1.4239622
13743.16888	3.5077166	2	34	1	1	1	1	4	1	-30	1	-1.2907676
13746.685	3.5077624	2	35	1	2	2	2	1	1	-45	1	-1.1579519
13750.20108	3.5078872	2	36	1	2	1	1	1	1	-25	2	-0.9413372
